circuit_id,n_qubits,gate_count,expectation_real,expectation_imag
0,5,10,0.99999999999999845,0
1,5,27,0.10948964084729554,0
2,5,27,0.03743150633225191,0
3,5,27,0.00038741268359369924,0
4,5,27,0.014475146453096346,0
5,5,27,0.16508660311574525,0
6,5,27,0.023049663749218012,0
7,5,27,0.001112183882038687,0
8,5,27,0.0008555267239429851,0
9,5,27,0.048839053803028012,0
10,5,27,0.10948964084729554,0
11,5,10,0.99999999999999845,0
12,5,27,0.027369747823737797,0
13,5,27,0.052427161655008228,0
14,5,27,0.084263929642759763,0
15,5,27,0.022082293368043231,0
16,5,27,0.047575257799804184,0
17,5,27,0.018545204611769929,0
18,5,27,0.014757763665979924,0
19,5,27,0.00057332751253936674,0
20,5,27,0.03743150633225191,0
21,5,27,0.027369747823737797,0
22,5,10,0.99999999999999845,0
23,5,27,0.012954280835396516,0
24,5,27,0.0013158481343901024,0
25,5,27,0.01370558480391052,0
26,5,27,0.0038862040758123858,0
27,5,27,0.00085962613242515596,0
28,5,27,0.0040186562515166172,0
29,5,27,0.18052477227430505,0
30,5,27,0.00038741268359369924,0
31,5,27,0.052427161655008228,0
32,5,27,0.012954280835396516,0
33,5,10,0.99999999999999845,0
34,5,27,0.0036385763059013287,0
35,5,27,0.039323986869333659,0
36,5,27,0.020467451961138132,0
37,5,27,0.0014107246858339265,0
38,5,27,0.005434865543559258,0
39,5,27,0.015162055377047283,0
40,5,27,0.014475146453096346,0
41,5,27,0.084263929642759763,0
42,5,27,0.0013158481343901024,0
43,5,27,0.0036385763059013287,0
44,5,10,0.99999999999999845,0
45,5,27,0.0078646556664615612,0
46,5,27,0.022841217319156157,0
47,5,27,0.023638867007697417,0
48,5,27,0.011937170820729259,0
49,5,27,0.010311552780116024,0
50,5,27,0.16508660311574525,0
51,5,27,0.022082293368043231,0
52,5,27,0.01370558480391052,0
53,5,27,0.039323986869333659,0
54,5,27,0.0078646556664615612,0
55,5,10,0.99999999999999845,0
56,5,27,0.0018509307105071776,0
57,5,27,0.00061857568040458956,0
58,5,27,0.058043659002455034,0
59,5,27,0.0029525160232011811,0
60,5,27,0.023049663749218012,0
61,5,27,0.047575257799804184,0
62,5,27,0.0038862040758123858,0
63,5,27,0.020467451961138132,0
64,5,27,0.022841217319156157,0
65,5,27,0.0018509307105071776,0
66,5,10,0.99999999999999845,0
67,5,27,0.23856807065545507,0
68,5,27,0.26027890999773351,0
69,5,27,0.042279635213821748,0
70,5,27,0.001112183882038687,0
71,5,27,0.018545204611769929,0
72,5,27,0.00085962613242515596,0
73,5,27,0.0014107246858339265,0
74,5,27,0.023638867007697417,0
75,5,27,0.00061857568040458956,0
76,5,27,0.23856807065545507,0
77,5,10,0.99999999999999845,0
78,5,27,0.060280290036927413,0
79,5,27,0.015603119569413852,0
80,5,27,0.0008555267239429851,0
81,5,27,0.014757763665979924,0
82,5,27,0.0040186562515166172,0
83,5,27,0.005434865543559258,0
84,5,27,0.011937170820729259,0
85,5,27,0.058043659002455034,0
86,5,27,0.26027890999773351,0
87,5,27,0.060280290036927413,0
88,5,10,0.99999999999999845,0
89,5,27,0.041422012859631173,0
90,5,27,0.048839053803028012,0
91,5,27,0.00057332751253936674,0
92,5,27,0.18052477227430505,0
93,5,27,0.015162055377047283,0
94,5,27,0.010311552780116024,0
95,5,27,0.0029525160232011811,0
96,5,27,0.042279635213821748,0
97,5,27,0.015603119569413852,0
98,5,27,0.041422012859631173,0
99,5,10,0.99999999999999845,0
