sample_id,x0,x1,x2,x3,x4
0,4.9437418630063856,1.5738143963483591,4.465279024153948,5.9480892177779783,0.12108362970973983
1,2.5440752071544455,1.5790764210378798,0.14270646067720749,3.2712974065334226,2.1656274029778433
2,1.7228217878507439,3.5250686486844187,0.87989385571591461,3.4171484525679965,3.279293121109129
3,5.3851753951364785,3.1401749156887377,2.6349795734104591,4.6764524275052501,1.5655695307855695
4,1.5034193482144724,2.0110270246365207,5.7208455753683474,1.035676176835499,1.5427277713814391
5,1.2460793389475409,4.4980866294283421,6.0810221153931074,4.8344816350052451,0.50709923139122426
6,2.8897931672789929,1.6164237487409736,4.8823210144163109,3.668642909157108,5.970911613444871
7,2.752663291951877,2.0250002078982354,3.3451993952827266,1.6107503952808488,0.28613537988173698
8,3.1728601482035481,4.3745961241907407,0.57314552919321926,5.6996012478969993,0.19424282845513935
9,0.95527340526498816,6.1670739852499548,3.8981617865629801,1.8772054107569456,2.2702698394070424
