circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
0,20,140,20,0,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,0.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.472135955000e+00,0,1045000,1048097
1,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.518644350809e+00,266,137,-1.093861293269e+00,0,79,1.408403425718e-01,1.274396639235e-01,8.654485915150e-01,7.490012645553e-01,4.472135955000e+00,0,56106000,5797466
2,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.234853104024e+00,575,189,-2.018973412524e+00,0,117,7.139876859856e-02,1.335301526241e-01,1.024109922556e+00,1.048801133477e+00,4.472135955000e+00,0,31354000,4913406
3,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.188895015088e+00,1171,262,-2.967373607739e+00,0,167,4.400385436991e-02,1.495789854299e-01,1.211859011209e+00,1.468602263049e+00,4.472135955000e+00,0,23156000,2923085
4,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,4.414342186612e+00,2243,398,-3.654624396396e+00,0,231,7.239963670932e-02,2.655945695283e-01,1.514860554547e+00,2.294802499722e+00,4.472135955000e+00,0,36149000,4779474
5,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,5.931115545542e+00,4050,560,-4.266854836006e+00,0,311,7.554069647538e-02,3.645120411500e-01,1.810312557931e+00,3.277231557403e+00,4.472135955000e+00,0,51370000,4117788
6,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,7.738312085383e+00,6894,755,-4.542335486422e+00,0,406,7.095083110059e-02,4.609034792078e-01,2.111236415133e+00,4.457319200583e+00,4.472135955000e+00,0,63906000,5799744
7,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,9.807575480554e+00,11074,975,-4.783804284664e+00,0,515,6.280189700487e-02,5.495826862988e-01,2.406245065453e+00,5.790015315016e+00,4.472135955000e+00,0,82726000,6678379
8,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.207900159693e+01,16798,1179,-4.767095384734e+00,0,634,4.699004330409e-02,5.854893011645e-01,2.646033912349e+00,7.001495465299e+00,4.472135955000e+00,0,101590000,8730087
9,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.446050253844e+01,24074,1420,-4.642149552030e+00,0,759,4.070236478898e-02,6.523463087966e-01,2.906593935224e+00,8.448288304279e+00,4.472135955000e+00,0,124789000,10579550
10,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.683174205275e+01,32617,1647,-4.420034884830e+00,0,884,3.468214136449e-02,7.009176902566e-01,3.132010579211e+00,9.809490268288e+00,4.472135955000e+00,0,148347000,9081435
11,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.905287152876e+01,41793,1756,-3.958261194170e+00,0,1000,2.228153324236e-02,6.359426867978e-01,3.223145845590e+00,1.038866914194e+01,4.472135955000e+00,0,157783000,10316285
12,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.097743458211e+01,50663,1860,-3.551288579071e+00,0,1101,1.606311907090e-02,5.945006269051e-01,3.309119540858e+00,1.095027213569e+01,4.472135955000e+00,0,172231000,11714224
13,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.246788689920e+01,58118,1946,-3.018525962583e+00,0,1180,1.297890255969e-02,5.723559700517e-01,3.380750796508e+00,1.142947594809e+01,4.472135955000e+00,0,200233000,15390964
14,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.341165971472e+01,63103,1926,-2.494458681938e+00,0,1229,8.539578866155e-03,4.837661003314e-01,3.351150100144e+00,1.123020699370e+01,4.472135955000e+00,0,186735000,13346218
15,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.373483206133e+01,64857,1873,-1.935720630809e+00,0,1246,5.909142851257e-03,4.079748673021e-01,3.295024999745e+00,1.085718974894e+01,4.472135955000e+00,0,180995000,13693083
16,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.341166372160e+01,63103,1802,-1.505139455579e+00,0,1229,4.668147702948e-03,3.576758138686e-01,3.225060304431e+00,1.040101396722e+01,4.472135955000e+00,0,181696000,14957358
17,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.246789459519e+01,58118,1682,-1.084404880655e+00,0,1180,3.567352477773e-03,3.000684889033e-01,3.108464277326e+00,9.662550163414e+00,4.472135955000e+00,0,163181000,13409088
18,20,140,20,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.097741235345e+01,50663,1504,-8.032235429933e-01,0,1101,2.084201248420e-03,2.141444105585e-01,2.928760447975e+00,8.577637761625e+00,4.472135955000e+00,0,151834000,11218862
