64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 3.091447837960132
u1 1 2.3109984478083696
u1 2 0.074654565423495356
u1 3 1.6787472273622148
u1 4 1.2286974458685878
u1 5 1.623294586131812
u1 6 -2.5983085140931941
u1 7 0.57798797896309217
u1 8 2.9443107846730658
u1 9 -2.6451646084470966
u1 10 -2.9618650341767179
u1 11 -2.9660267078586959
u1 12 2.4220268137522876
u1 13 -0.60229248144335656
u1 14 -0.49788054981941254
u1 15 -0.61881074117269463
u1 16 -2.0155514782345625
u1 17 -0.12974563127789018
u1 18 1.9718494966214566
u1 19 1.8124061825516042
u1 20 2.3791286920989627
u1 21 -2.5020267099247704
u1 22 1.6888107652315316
u1 23 -2.905635676692782
u1 24 2.5933601709260365
u1 25 1.6279888885463931
u1 26 -1.02594613173728
u1 27 -0.78058486682868811
u1 28 -3.0498637081167344
u1 29 1.9627728467997709
u1 30 0.46995620782524838
u1 31 -1.1212286705427434
u1 32 2.7613387717776146
u1 33 -1.2667438201631693
u1 34 2.9365426540593802
u1 35 3.125755796165155
u1 36 1.9959598905836158
u1 37 -0.61345514375829868
u1 38 -0.65037368610471535
u1 39 -0.74972187014548641
u1 40 2.5600723721466707
u1 41 -0.32805193160408841
u1 42 2.4100094732986239
u1 43 1.6664645954590922
u1 44 2.6031216775794457
u1 45 -2.2094243343498938
u1 46 -0.23381101699425422
u1 47 -0.42969042916283229
u1 48 2.5941010887608709
u1 49 -2.7262675064105935
u1 50 -0.71255256800043121
u1 51 1.1439722279413669
u1 52 2.6232085696837846
u1 53 1.8238272139190457
u1 54 -0.54065326856934082
u1 55 2.2292022642227423
u1 56 0.13393507852810416
u1 57 -0.76744766893137495
u1 58 2.2413334275731422
u1 59 0.49354425632578902
u1 60 -0.12626194265538704
u1 61 2.1340042923534428
u1 62 1.0972078090773856
u1 63 -2.2339140899127337
cx 0 1
u1 1 -1.7057485403480399
cx 0 1
cx 1 2
u1 2 0.61658696530855828
cx 1 2
cx 2 3
u1 3 1.2382338231119978
cx 2 3
cx 3 4
u1 4 2.2734225552353351
cx 3 4
cx 4 5
u1 5 -1.6158228582465073
cx 4 5
cx 5 6
u1 6 -2.4655825501957604
cx 5 6
cx 6 7
u1 7 2.7645955294967592
cx 6 7
cx 7 8
u1 8 -2.8747810910155707
cx 7 8
cx 8 9
u1 9 1.0578000357409785
cx 8 9
cx 9 10
u1 10 0.32781454604816318
cx 9 10
cx 10 11
u1 11 2.6176765335176064
cx 10 11
cx 11 12
u1 12 0.85013774580918522
cx 11 12
cx 12 13
u1 13 -1.6977645390108478
cx 12 13
cx 13 14
u1 14 -0.15829548272911698
cx 13 14
cx 14 15
u1 15 -2.3442364283280384
cx 14 15
cx 15 16
u1 16 2.5108442038478636
cx 15 16
cx 16 17
u1 17 -2.751199458579654
cx 16 17
cx 17 18
u1 18 2.7857226704711198
cx 17 18
cx 18 19
u1 19 1.0529011713719718
cx 18 19
cx 19 20
u1 20 -1.7068754718576284
cx 19 20
cx 20 21
u1 21 -2.345769626737285
cx 20 21
cx 21 22
u1 22 0.60504482494079426
cx 21 22
cx 22 23
u1 23 0.70019465949410886
cx 22 23
cx 23 24
u1 24 0.62729898881212165
cx 23 24
cx 24 25
u1 25 0.82974161387653744
cx 24 25
cx 25 26
u1 26 1.8526522701928698
cx 25 26
cx 26 27
u1 27 -1.1351869957251211
cx 26 27
cx 27 28
u1 28 1.5266459608268192
cx 27 28
cx 28 29
u1 29 -1.792235744721383
cx 28 29
cx 29 30
u1 30 -0.036122652043297787
cx 29 30
cx 30 31
u1 31 -0.99759152786772898
cx 30 31
cx 31 32
u1 32 2.8823576699891924
cx 31 32
cx 32 33
u1 33 0.18194918039458052
cx 32 33
cx 33 34
u1 34 -0.27190504684105576
cx 33 34
cx 34 35
u1 35 -0.43119850045464148
cx 34 35
cx 35 36
u1 36 1.1024109052643631
cx 35 36
cx 36 37
u1 37 1.4404479796528302
cx 36 37
cx 37 38
u1 38 -3.131360622586969
cx 37 38
cx 38 39
u1 39 -2.2402682901669921
