64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 -2.5183600366810737
u1 1 0.2825007368919592
u1 2 -1.091559703849148
u1 3 -2.8215610668056215
u1 4 2.5908919385273363
u1 5 0.3674186872430365
u1 6 2.9655278284263975
u1 7 2.365960464746661
u1 8 -2.1039679314379409
u1 9 -0.76096871081015438
u1 10 0.78124982128004827
u1 11 -2.4418056905791401
u1 12 -2.5747487201929644
u1 13 -2.3115987482630338
u1 14 -0.38961794197447919
u1 15 2.0734676783399522
u1 16 -1.7298509214661415
u1 17 -2.2987046434421785
u1 18 -2.8263009614464538
u1 19 2.1838368410994531
u1 20 -2.6420002893897703
u1 21 1.1206289235262954
u1 22 2.5343696957001995
u1 23 -2.32058885214688
u1 24 -0.7251304833858967
u1 25 -2.6513653559536432
u1 26 0.25152376095655171
u1 27 1.5185787207583852
u1 28 -3.0282414160446907
u1 29 -1.5715857168404321
u1 30 -1.6540029117711272
u1 31 1.4216363435417545
u1 32 2.6947878560985039
u1 33 -1.4369915631984576
u1 34 -0.77288365855584118
u1 35 2.5153436083146929
u1 36 1.4358569620221617
u1 37 -2.3686876816146372
u1 38 -1.7270140205708806
u1 39 0.033992218185661116
u1 40 -3.0907068975329146
u1 41 -2.0588371981749116
u1 42 0.13054441779293913
u1 43 2.2595396045206302
u1 44 2.0624323893822201
u1 45 1.756616307629093
u1 46 -1.652899875775697
u1 47 -3.0804023063920614
u1 48 -2.4287764630361752
u1 49 1.1591141066620363
u1 50 0.12435698690111696
u1 51 0.86989405768232864
u1 52 -1.7728135022489475
u1 53 2.2677381056646873
u1 54 -2.7170157058185289
u1 55 2.6636541921581784
u1 56 -1.693326120855323
u1 57 2.2817452335334156
u1 58 -3.0472261188595269
u1 59 2.0166107280288283
