64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 0.87249224465758779
u1 1 -2.3855480189104696
u1 2 -0.011761492171585175
u1 3 -0.96018980931834053
u1 4 -2.4485854005215169
u1 5 -2.1925837976599176
u1 6 0.31735699655321348
u1 7 1.8072013748080806
u1 8 -0.75588946358367259
u1 9 2.809291502510697
u1 10 -2.2996577930570847
u1 11 2.2882672667819328
u1 12 -1.3829901220948138
u1 13 -2.6617093430873502
u1 14 -1.476142540209942
u1 15 0.063967782773205251
u1 16 1.601440567306943
u1 17 -1.6822649747236955
u1 18 1.8831525570908383
u1 19 -1.258520733235569
u1 20 0.60576974433650399
u1 21 1.2235002324983171
u1 22 -1.4909793593920488
u1 23 1.4926503960450326
u1 24 1.5752214086090213
u1 25 0.089676891564160366
u1 26 0.094312039830148464
u1 27 -1.1524715673472841
u1 28 -1.1821262491548588
u1 29 -0.32526085961464091
u1 30 1.5260321776613086
u1 31 -2.039067576757831
u1 32 2.0099377500663707
u1 33 -1.6594186626152947
u1 34 0.45815416102301554
u1 35 1.8833075463964146
u1 36 0.050973563572862979
u1 37 -1.3967484235644108
u1 38 -1.4457229033212933
u1 39 -2.5318647997359953
u1 40 -2.8520821071454545
u1 41 -1.788021497955059
u1 42 0.87472951702730839
u1 43 2.6967504993540086
u1 44 1.2148866249804735
u1 45 1.0679305914746073
u1 46 2.7823811021759539
u1 47 -1.8058506056943422
u1 48 -1.5055592710788872
u1 49 -1.8912279334916391
u1 50 -0.95274268368349624
u1 51 -2.1585642603954285
u1 52 3.0342812209160179
u1 53 2.4355703805261335
u1 54 1.2883688207818507
u1 55 -1.5661472326259442
u1 56 0.78257862421268154
u1 57 0.55508864907367439
u1 58 1.1715716025032448
u1 59 -0.26762358199010583
u1 60 -2.6789678527669425
u1 61 1.6934778966897577
u1 62 -0.96195333916720571
u1 63 0.62683243123340748
cx 0 1
u1 1 2.7643663414272392
cx 0 1
cx 1 2
u1 2 0.059992574775650453
cx 1 2
cx 2 3
u1 3 1.6625956039030587
cx 2 3
cx 3 4
u1 4 -1.8214853167532343
cx 3 4
cx 4 5
u1 5 1.345005429629051
cx 4 5
cx 5 6
u1 6 1.8215657077984835
cx 5 6
cx 6 7
u1 7 -0.32296904773868551
cx 6 7
cx 7 8
u1 8 -1.8457941352030094
cx 7 8
cx 8 9
u1 9 -1.7584257727415675
cx 8 9
cx 9 10
u1 10 -1.2829336272533318
cx 9 10
cx 10 11
u1 11 -1.329419304312939
cx 10 11
cx 11 12
u1 12 -2.1137123815020171
cx 11 12
cx 12 13
u1 13 2.0395927955718451
cx 12 13
cx 13 14
u1 14 3.056661081341975
cx 13 14
cx 14 15
u1 15 1.419429118433726
cx 14 15
cx 15 16
u1 16 -1.1329331603494204
cx 15 16
cx 16 17
u1 17 -2.2021905574026253
cx 16 17
cx 17 18
u1 18 -0.77181739801321081
cx 17 18
cx 18 19
u1 19 -1.7840980139117852
cx 18 19
cx 19 20
u1 20 -0.5505251071552002
cx 19 20
cx 20 21
u1 21 -0.67016203981950717
cx 20 21
cx 21 22
u1 22 2.8926271765534768
cx 21 22
cx 22 23
u1 23 -0.96054568826321463
cx 22 23
cx 23 24
u1 24 -2.7305372235714547
cx 23 24
cx 24 25
u1 25 1.0544596563396276
cx 24 25
cx 25 26
u1 26 2.1409175065646178
cx 25 26
cx 26 27
u1 27 1.2236646170863992
cx 26 27
cx 27 28
u1 28 -2.7119787000522031
cx 27 28
cx 28 29
u1 29 1.9086752263441502
cx 28 29
cx 29 30
u1 30 -2.1731873893195317
cx 29 30
cx 30 31
u1 31 2.2529344719726643
cx 30 31
cx 31 32
u1 32 2.4402721551931865
cx 31 32
cx 32 33
u1 33 2.8119715599497046
cx 32 33
cx 33 34
u1 34 -0.76743494664054168
cx 33 34
cx 34 35
u1 35 -1.1253098866553017
cx 34 35
cx 35 36
u1 36 -0.83371832063639495
cx 35 36
cx 36 37
u1 37 -1.7568105671413452
cx 36 37
cx 37 38
u1 38 -1.2817767023631532
cx 37 38
cx 38 39
u1 39 1.374672051817492
cx 38 39
cx 39 40
u1 40 1.2918454185905652
cx 39 40
cx 40 41
u1 41 2.6068968953796778
cx 40 41
cx 41 42
u1 42 1.3251860044718777
cx 41 42
cx 42 43
u1 43 2.7844716779145884
cx 42 43
cx 43 44
u1 44 -0.053715096955695429
cx 43 44
cx 44 45
u1 45 -2.1770128423319814
cx 44 45
cx 45 46
u1 46 2.5175444083814202
cx 45 46
cx 46 47
u1 47 -1.3024736010572724
cx 46 47
cx 47 48
u1 48 0.6246187351505661
cx 47 48
cx 48 49
u1 49 0.20867059573087765
cx 48 49
cx 49 50
u1 50 1.0916423199334844
cx 49 50
cx 50 51
u1 51 -2.4572323562517884
cx 50 51
cx 51 52
u1 52 1.7280704767921655
cx 51 52
cx 52 53
u1 53 -2.3190182185784174
cx 52 53
cx 53 54
u1 54 1.5964938281470544
cx 53 54
cx 54 55
u1 55 1.4425222772120463
cx 54 55
cx 55 56
u1 56 -1.5666864751773721
cx 55 56
cx 56 57
u1 57 0.6584573483894931
cx 56 57
cx 57 58
u1 58 -1.8881958252923106
cx 57 58
cx 58 59
u1 59 -1.6327022540982128
cx 58 59
cx 59 60
u1 60 -0.95551378702803014
cx 59 60
cx 60 61
u1 61 -2.7599133799753268
cx 60 61
cx 61 62
u1 62 2.5647809551423388
cx 61 62
cx 62 63
u1 63 -2.0160705734681343
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
