64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 0.20565773174713087
u1 1 0.31399026325360246
u1 2 1.7572899531142347
u1 3 0.98757206816099075
u1 4 1.2320755938074459
u1 5 -2.8605402067525141
u1 6 2.9729049976127704
u1 7 -1.6003730612626876
u1 8 -1.0355217748334642
u1 9 -2.8584810874301194
u1 10 -2.7753305655121707
u1 11 0.21320856557101742
u1 12 -0.79237407031216911
u1 13 -0.22888024767944115
u1 14 1.9166794769667543
u1 15 2.3883654701075834
u1 16 2.4447496889689959
u1 17 -0.32384982466035694
u1 18 -2.8073673343999168
u1 19 1.8435083442237099
u1 20 0.1590050980300477
u1 21 0.12404524563726405
u1 22 -0.37350317611216255
u1 23 1.3526156059692198
u1 24 2.8163018774724655
u1 25 -1.6549244802404557
u1 26 -1.4733954475017708
u1 27 1.4196499032721839
u1 28 2.841306039762574
u1 29 -0.17051446768838563
u1 30 1.3718767418186495
u1 31 -0.38184526225658688
u1 32 -0.17524639036864897
u1 33 -0.019368937654266283
u1 34 1.4833491068840481
u1 35 -2.6153058875432436
u1 36 -1.8853438695382616
u1 37 2.4161450384886818
u1 38 -3.12261206414294
u1 39 -2.6619310558707134
u1 40 1.6395033747838426
u1 41 -0.61898653631434453
u1 42 2.0595853220172717
u1 43 -1.9224404990640105
u1 44 -0.73517289134065766
u1 45 0.53002650970303389
u1 46 3.0232847209820983
u1 47 -2.2967327776248778
u1 48 2.7363790393649943
u1 49 -0.51259339523165393
u1 50 0.23698000201191505
u1 51 -1.3948750291919225
u1 52 3.125527425597582
u1 53 -2.067972818723562
u1 54 -3.0650362525930541
u1 55 0.88114925230350583
u1 56 2.795303095160377
u1 57 1.9629949676704754
u1 58 -0.049309098211868019
u1 59 -3.0345888553504943
u1 60 0.27308646128104197
u1 61 -2.2186796128280575
u1 62 2.5636145704523718
u1 63 -0.77382309184982745
cx 0 1
u1 1 -0.58580423319807551
cx 0 1
cx 1 2
u1 2 0.54101740710137847
cx 1 2
cx 2 3
u1 3 0.36824978276446174
cx 2 3
cx 3 4
u1 4 1.7441458922091524
cx 3 4
cx 4 5
u1 5 -0.15793479757555318
cx 4 5
cx 5 6
u1 6 -0.80641743164932578
cx 5 6
cx 6 7
u1 7 0.046279243508756451
cx 6 7
cx 7 8
u1 8 -3.0999667593655893
cx 7 8
cx 8 9
u1 9 -2.2943264713178664
cx 8 9
cx 9 10
u1 10 -1.9256330747019881
cx 9 10
cx 10 11
u1 11 -0.082291580761204131
cx 10 11
cx 11 12
u1 12 2.094447216451627
cx 11 12
cx 12 13
u1 13 0.66151046055453588
cx 12 13
cx 13 14
u1 14 -2.69400056214449
cx 13 14
cx 14 15
u1 15 -2.3886365295057388
cx 14 15
cx 15 16
u1 16 -0.13242457097447691
cx 15 16
cx 16 17
u1 17 -1.8069973731050055
cx 16 17
cx 17 18
u1 18 -1.140787073059645
cx 17 18
cx 18 19
u1 19 0.30522004678750148
cx 18 19
cx 19 20
u1 20 -0.68961456996520476
cx 19 20
cx 20 21
u1 21 -0.34399516948238418
cx 20 21
cx 21 22
u1 22 2.554338698742546
cx 21 22
cx 22 23
u1 23 0.10517825923495039
cx 22 23
cx 23 24
u1 24 -1.5952365472201766
cx 23 24
cx 24 25
u1 25 0.83380120239330235
cx 24 25
cx 25 26
u1 26 2.5708697999996879
cx 25 26
cx 26 27
u1 27 -2.0667214681717496
cx 26 27
cx 27 28
u1 28 -0.22194825281203467
cx 27 28
cx 28 29
u1 29 -0.1277011164152082
cx 28 29
cx 29 30
u1 30 0.11826861152548229
cx 29 30
cx 30 31
u1 31 -0.14577779052259565
cx 30 31
cx 31 32
u1 32 -0.29928549514088942
cx 31 32
cx 32 33
u1 33 2.1729947574604296
cx 32 33
cx 33 34
u1 34 2.782425915051796
cx 33 34
cx 34 35
u1 35 -2.245060622793325
cx 34 35
cx 35 36
u1 36 -1.8063895626387669
cx 35 36
cx 36 37
u1 37 0.22999762582880723
cx 36 37
cx 37 38
u1 38 -0.99763076419076269
cx 37 38
cx 38 39
u1 39 -2.508267764446126
cx 38 39
cx 39 40
u1 40 0.57871159259784477
cx 39 40
cx 40 41
u1 41 -0.67584931673639304
cx 40 41
cx 41 42
u1 42 -0.28964276509992892
cx 41 42
cx 42 43
u1 43 1.3565164479939291
cx 42 43
cx 43 44
u1 44 2.9413895122481444
cx 43 44
cx 44 45
