64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 -2.7462272634373424
u1 1 -3.0187210013105421
u1 2 0.19782152495976479
u1 3 -2.6102650486638677
u1 4 -0.41332832591046831
u1 5 0.4060225615517421
u1 6 1.029858870339933
u1 7 1.5106669786904696
u1 8 -2.5845553386122555
u1 9 0.57614292960064883
u1 10 -1.6807188507916209
u1 11 1.7691729085877519
u1 12 0.59070754085698951
u1 13 1.553598272162219
u1 14 1.724070798929068
u1 15 -3.1154508391358444
u1 16 -2.433187268844323
u1 17 1.7088667743492483
u1 18 1.216949371129763
u1 19 1.6274233508752314
u1 20 -0.27710409340726549
u1 21 -0.40325169561833718
u1 22 2.8531615998592583
u1 23 1.6971846411297751
u1 24 2.3409123885834706
u1 25 -0.21016324484986626
u1 26 0.17810087242448081
u1 27 -1.154379071082962
u1 28 -2.2261028493047785
u1 29 0.26246669398338351
u1 30 -1.3374435005772263
u1 31 -0.26604318483108713
u1 32 -2.1213031392405863
u1 33 -2.8105020061938877
u1 34 -0.4304712889454072
u1 35 -1.1684649600894055
u1 36 -0.41113342144232146
u1 37 -0.31393595531758844
u1 38 1.9892315168588031
u1 39 0.17370914047435981
u1 40 -2.9933187897728999
u1 41 2.455116942780025
u1 42 -2.8693495476524804
u1 43 2.026766905318655
u1 44 1.1932602888764237
u1 45 3.0890465444315325
u1 46 -2.9768851117327619
u1 47 1.4131518182330076
u1 48 1.9749170801689253
u1 49 -0.93736009153727329
u1 50 2.2602113793092418
u1 51 0.5892328617294158
u1 52 -1.8317897973534976
u1 53 -1.8037385147449854
u1 54 1.1314662061785468
u1 55 -0.61686768145089488
u1 56 2.901652152239814
u1 57 2.4048128483454185
u1 58 0.067586388650339405
u1 59 -2.7955880536673039
u1 60 2.992016581608552
u1 61 -2.5175941852293198
u1 62 -1.5484346024025335
u1 63 -0.51154211311508391
cx 0 1
u1 1 0.12950432536674228
cx 0 1
cx 1 2
u1 2 -1.8794318808676671
cx 1 2
cx 2 3
u1 3 -2.2165034813855176
cx 2 3
cx 3 4
u1 4 -2.9458208082376873
cx 3 4
cx 4 5
u1 5 0.16413569035289299
cx 4 5
cx 5 6
u1 6 2.0215182981400943
cx 5 6
cx 6 7
u1 7 1.1826779267261731
cx 6 7
cx 7 8
u1 8 -2.4183866156830138
cx 7 8
cx 8 9
u1 9 1.7736879371873737
cx 8 9
cx 9 10
u1 10 1.4597791353670893
cx 9 10
cx 10 11
u1 11 -1.1337445541692084
cx 10 11
cx 11 12
u1 12 2.6185568776391945
cx 11 12
cx 12 13
u1 13 0.091650348599304987
cx 12 13
cx 13 14
u1 14 1.2919462370639838
cx 13 14
cx 14 15
u1 15 1.2391104947567548
cx 14 15
cx 15 16
u1 16 -3.0284635931433446
cx 15 16
cx 16 17
u1 17 1.7026005570743381
cx 16 17
cx 17 18
u1 18 2.5819830559495354
cx 17 18
cx 18 19
u1 19 -1.8102947704355197
cx 18 19
cx 19 20
u1 20 -0.86647404700878727
cx 19 20
cx 20 21
u1 21 -0.10444618622293511
cx 20 21
cx 21 22
u1 22 1.0373565453761788
cx 21 22
cx 22 23
u1 23 -0.84144427961194879
cx 22 23
cx 23 24
u1 24 -1.1561856319283343
cx 23 24
cx 24 25
u1 25 -2.5601222851744563
cx 24 25
cx 25 26
u1 26 -0.86981747042252566
cx 25 26
cx 26 27
u1 27 2.2392542361050687
cx 26 27
cx 27 28
u1 28 3.1060358962400478
cx 27 28
cx 28 29
u1 29 1.0671490780880237
cx 28 29
cx 29 30
u1 30 1.7068295741035868
cx 29 30
cx 30 31
u1 31 -2.6669473660002545
cx 30 31
cx 31 32
u1 32 -0.15549079370491725
cx 31 32
cx 32 33
u1 33 -0.46858184355939159
cx 32 33
cx 33 34
u1 34 3.0939668437660615
cx 33 34
cx 34 35
u1 35 1.4734038917931791
cx 34 35
cx 35 36
u1 36 -1.8405914023201539
cx 35 36
cx 36 37
u1 37 -3.060868711091278
cx 36 37
cx 37 38
u1 38 1.0904759935529054
cx 37 38
cx 38 39
u1 39 -2.8770583268839833
cx 38 39
cx 39 40
u1 40 -1.5939914147001524
cx 39 40
cx 40 41
u1 41 1.2883896293906485
cx 40 41
cx 41 42
u1 42 -0.38750131469518512
cx 41 42
cx 42 43
u1 43 -1.2974156769561125
cx 42 43
cx 43 44
u1 44 -0.80882125676040573
cx 43 44
cx 44 45
u1 45 0.98974339150846036
cx 44 45
cx 45 46
u1 46 -3.0642102757888043
cx 45 46
cx 46 47
u1 47 0.89279337927268543
cx 46 47
cx 47 48
u1 48 -0.42438972676901088
cx 47 48
cx 48 49
u1 49 2.1033984296152104
cx 48 49
cx 49 50
u1 50 1.045036788064758
cx 49 50
cx 50 51
u1 51 2.8735400697835942
cx 50 51
cx 51 52
u1 52 1.492719294695565
cx 51 52
cx 52 53
u1 53 -2.2428387257851181
cx 52 53
cx 53 54
u1 54 1.3117986387231682
cx 53 54
cx 54 55
u1 55 0.52551098950813113
cx 54 55
cx 55 56
u1 56 -3.1037625882668776
cx 55 56
cx 56 57
u1 57 -2.1570662063465109
cx 56 57
cx 57 58
u1 58 -1.1210356890668072
cx 57 58
cx 58 59
u1 59 -3.0459097414540359
cx 58 59
cx 59 60
u1 60 3.1140518638935939
cx 59 60
cx 60 61
u1 61 -1.5508903714647087
cx 60 61
cx 61 62
u1 62 -2.0840653951212058
cx 61 62
cx 62 63
u1 63 2.9604062204638755
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
