64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 -2.3731726761733665
u1 1 2.6718721095706952
u1 2 -1.9913447028689681
u1 3 -0.88634158988185163
u1 4 -0.18646512567979734
u1 5 -0.18474472164430455
u1 6 0.59633827705594911
u1 7 0.40475270905055005
u1 8 -0.48074882366838922
u1 9 -3.1001068025328715
u1 10 2.9807873649906522
u1 11 -1.0672047835988971
u1 12 1.4800176179897093
u1 13 -2.9257813118028384
u1 14 0.23043963964997793
u1 15 0.4612037651390839
u1 16 2.6757873109246697
u1 17 2.0964483317806684
u1 18 -2.2449831678262804
u1 19 1.1953177168271649
u1 20 3.1002483831562566
u1 21 0.60438503496510698
u1 22 0.97110394416886425
u1 23 -2.9638717021614696
u1 24 -1.5896550289276856
u1 25 1.4553752358421299
u1 26 -0.77818101402739848
u1 27 -0.19611477249091047
u1 28 -1.296699683731414
u1 29 -2.384313380054417
u1 30 -1.2653204568619749
u1 31 -2.5825173112953852
u1 32 -1.7486202958345771
u1 33 -0.5272979333525265
u1 34 -2.8715764858129722
u1 35 -0.69744538744058548
u1 36 2.1272409661067853
u1 37 1.3105387086492568
u1 38 -0.17860132210824453
u1 39 1.2832697976130056
u1 40 -0.19837191299798818
u1 41 -1.7967896469684312
u1 42 0.3297731485404487
u1 43 -2.2326509498653992
u1 44 1.9596434139906824
u1 45 3.0286693416710984
u1 46 0.24607144572645989
u1 47 0.9082995353499026
u1 48 -1.5631707590025474
u1 49 0.070665534419348308
u1 50 -1.1200378707968248
u1 51 0.66380414995335713
u1 52 2.0439044282315297
u1 53 1.9607248708453371
u1 54 2.8187077628143813
u1 55 -1.3236396028498394
