64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 -2.7259424799265481
u1 1 -1.7985671530769061
u1 2 1.5315794049416276
u1 3 2.7576614318128918
u1 4 -2.5510867822540915
u1 5 0.99968445864025668
u1 6 1.87891018506848
u1 7 1.5264226725497378
u1 8 -1.3339308400162873
u1 9 -2.4214767417008995
u1 10 2.2964520512651578
u1 11 -0.44289775142723542
u1 12 0.39237395131324426
u1 13 1.7113646237245836
u1 14 -0.28354702242022789
u1 15 2.4064550384801553
u1 16 -1.0400441030084941
u1 17 -2.0876082743037987
u1 18 -3.1227185711772893
u1 19 -0.55753995324150107
u1 20 -0.85344566586485282
u1 21 0.58652150329499264
u1 22 2.2736187939446166
u1 23 -0.28113039785830729
u1 24 1.173328817164268
u1 25 -0.42601453749150586
u1 26 -2.8453193973067172
u1 27 -1.0349368985306793
u1 28 -2.2833342955550888
u1 29 0.041717448407635693
u1 30 0.60725199964499232
u1 31 -2.3520569318165916
u1 32 -0.013737207663417905
u1 33 -0.65316142639154684
u1 34 1.0950178252644389
u1 35 1.1297233777741456
u1 36 0.74140015189096786
u1 37 -0.93666773529782166
u1 38 -2.0045034336413678
u1 39 -3.0990389883869147
u1 40 -0.32091551310425537
u1 41 0.20450871466762022
u1 42 2.3734383843337792
u1 43 -1.669424195595532
u1 44 -2.2590776092360638
u1 45 1.6065711930496729
u1 46 -0.86219390511278693
u1 47 -0.0389244528506687
u1 48 -1.1830403326148433
u1 49 2.9269513116669597
u1 50 3.1035812308965731
u1 51 0.79746120088022465
u1 52 1.8473751910757497
u1 53 -2.5082999167995714
u1 54 2.5152029509362643
u1 55 -0.20340045657180905
u1 56 -1.7612811909815824
u1 57 0.57321420382430288
u1 58 -1.5317471585892282
u1 59 0.49557308280358203
u1 60 0.68519574172881192
u1 61 -0.073078065773306555
u1 62 -1.9628239530846052
u1 63 2.4345770370073438
cx 0 1
u1 1 2.2493231486258267
cx 0 1
cx 1 2
u1 2 -0.42383413451700136
cx 1 2
cx 2 3
u1 3 1.9509564810345381
cx 2 3
cx 3 4
u1 4 -0.14073739587245804
cx 3 4
cx 4 5
u1 5 -1.3818283196137378
cx 4 5
cx 5 6
u1 6 1.5095568919202709
cx 5 6
cx 6 7
u1 7 1.9779899726583547
cx 6 7
cx 7 8
u1 8 1.3517481186770619
cx 7 8
cx 8 9
u1 9 -1.0648321299774661
cx 8 9
cx 9 10
u1 10 -2.7665425880877437
cx 9 10
cx 10 11
u1 11 0.86618869030454437
cx 10 11
cx 11 12
u1 12 -2.1812307877189685
cx 11 12
cx 12 13
u1 13 -2.9854907652583513
cx 12 13
cx 13 14
u1 14 -1.6832682205007012
cx 13 14
cx 14 15
u1 15 -2.4847954012175784
cx 14 15
cx 15 16
u1 16 1.7636314873473893
cx 15 16
cx 16 17
u1 17 2.2035245271816581
cx 16 17
cx 17 18
u1 18 -2.949900436566339
cx 17 18
cx 18 19
u1 19 -2.4232057573498667
cx 18 19
cx 19 20
u1 20 -0.037821474053638227
cx 19 20
cx 20 21
u1 21 -0.67560205717642674
cx 20 21
cx 21 22
u1 22 2.7690816381768366
cx 21 22
cx 22 23
u1 23 1.1401113854814557
cx 22 23
cx 23 24
u1 24 1.0015144681139958
cx 23 24
cx 24 25
u1 25 -0.76234492091449546
cx 24 25
cx 25 26
u1 26 -1.3638539462207335
cx 25 26
cx 26 27
u1 27 -1.913658531183291
cx 26 27
cx 27 28
u1 28 1.653167013684123
cx 27 28
cx 28 29
u1 29 -0.67764870198505545
cx 28 29
cx 29 30
u1 30 -0.67925271160441092
cx 29 30
cx 30 31
u1 31 1.9004509933689429
cx 30 31
cx 31 32
u1 32 0.64066585450916236
cx 31 32
cx 32 33
u1 33 -0.018010023974898814
cx 32 33
cx 33 34
u1 34 0.78355934988853715
cx 33 34
cx 34 35
u1 35 -2.9590978176449312
cx 34 35
cx 35 36
u1 36 -0.27384595195795747
cx 35 36
cx 36 37
u1 37 -0.76396998046635645
cx 36 37
cx 37 38
u1 38 -2.3223161330003226
cx 37 38
cx 38 39
u1 39 2.4379098999321016
cx 38 39
cx 39 40
u1 40 0.45780380093916051
cx 39 40
cx 40 41
u1 41 1.2903260457847843
cx 40 41
cx 41 42
u1 42 1.3678579565366356
cx 41 42
cx 42 43
u1 43 2.2933790666777654
cx 42 43
cx 43 44
u1 44 -1.1372283280829327
cx 43 44
cx 44 45
u1 45 -3.0192413028107232
cx 44 45
cx 45 46
u1 46 -1.840639279928002
cx 45 46
cx 46 47
u1 47 -0.95415561613616462
cx 46 47
cx 47 48
u1 48 0.76445026402832195
cx 47 48
cx 48 49
u1 49 -0.85042222976938309
cx 48 49
cx 49 50
u1 50 1.024898785379925
cx 49 50
cx 50 51
u1 51 -0.69080292544421695
cx 50 51
cx 51 52
u1 52 3.0963578201276487
cx 51 52
cx 52 53
u1 53 -0.61330050587660967
cx 52 53
cx 53 54
u1 54 -2.3904246596788985
cx 53 54
cx 54 55
u1 55 2.9633438966963004
cx 54 55
cx 55 56
u1 56 0.57334536403131064
cx 55 56
cx 56 57
u1 57 2.480705268398157
cx 56 57
cx 57 58
u1 58 -1.6631497916588707
cx 57 58
cx 58 59
u1 59 -0.94004608093580211
cx 58 59
cx 59 60
u1 60 0.71762065917610984
cx 59 60
cx 60 61
u1 61 -1.7802087126961013
cx 60 61
cx 61 62
u1 62 0.74035000929608719
cx 61 62
cx 62 63
u1 63 -1.879142936881578
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
