64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 2.7471570078493723
u1 1 3.0954864326614704
u1 2 -1.4189328531909817
u1 3 -3.0083155460687818
u1 4 0.44854398477077151
u1 5 -1.9263063472688771
u1 6 0.94271650670422047
u1 7 0.588499351766548
u1 8 -1.1657785443740734
u1 9 -0.40747250583842121
u1 10 -1.0737289369608263
u1 11 -0.74232070543557072
u1 12 -0.059094124774235368
u1 13 -0.34321664043053524
u1 14 2.7166052992138043
u1 15 -0.37735227075581612
u1 16 -0.90896894148775953
u1 17 -1.1851573260647652
u1 18 -0.61633728743466953
u1 19 0.58490238760544599
u1 20 0.24797803626546688
u1 21 0.61242699212848795
u1 22 -1.7197195380646777
u1 23 -1.2594588402385263
u1 24 0.93419087907793141
u1 25 2.5090437679371065
u1 26 2.7114559971697894
u1 27 -2.5180304147645778
u1 28 -2.4994145878561618
u1 29 2.2879469591389601
u1 30 0.82339618772263856
u1 31 -2.2718237804719852
u1 32 -1.3091337914259729
u1 33 -0.38298441022327445
u1 34 -1.1121839525817088
u1 35 0.84865250023471539
u1 36 2.2542974791415773
u1 37 -0.39764197035234083
u1 38 -2.9460657412421973
u1 39 -0.22626195465034016
u1 40 -2.9090036891044413
u1 41 1.6642793925301413
u1 42 -0.2300157876263409
u1 43 0.4812467541467389
u1 44 -0.16054687259200939
u1 45 -2.8113147381158616
u1 46 1.0950716464619941
u1 47 -1.2610943717843996
u1 48 1.6391664564938093
u1 49 -0.43393261752133316
u1 50 -1.7128197025273533
u1 51 1.5997212166788772
u1 52 -0.77440626631695064
u1 53 -0.14864025677481418
u1 54 -2.1529303151623074
u1 55 -3.0112155469451274
u1 56 1.0720193179045943
u1 57 -0.35843916443067902
u1 58 2.4181279824869701
u1 59 2.1581168311507302
u1 60 -0.86423213852252712
u1 61 -0.19021241185031101
u1 62 0.12903303159144119
u1 63 1.2483900846071272
cx 0 1
u1 1 2.6603897431211641
cx 0 1
cx 1 2
u1 2 -1.6455742188692506
cx 1 2
cx 2 3
u1 3 0.64893479656195474
cx 2 3
cx 3 4
u1 4 -0.15307995142504666
cx 3 4
cx 4 5
u1 5 -1.9205294936172965
cx 4 5
cx 5 6
u1 6 1.8203153106387759
cx 5 6
cx 6 7
u1 7 -1.3763914150392806
cx 6 7
cx 7 8
u1 8 0.30704284407964116
cx 7 8
cx 8 9
u1 9 0.80919823129549506
cx 8 9
cx 9 10
u1 10 -0.96095996485261037
cx 9 10
cx 10 11
u1 11 -0.94788431195479828
cx 10 11
cx 11 12
u1 12 1.2447860029733793
cx 11 12
cx 12 13
u1 13 -1.182061275866042
cx 12 13
cx 13 14
u1 14 -1.1050318818027876
cx 13 14
cx 14 15
u1 15 -0.46800519215795688
cx 14 15
cx 15 16
u1 16 -3.0837554517161809
cx 15 16
cx 16 17
u1 17 -1.3969729734609686
cx 16 17
cx 17 18
u1 18 0.049369468697015861
cx 17 18
cx 18 19
u1 19 0.45590081293711204
cx 18 19
cx 19 20
u1 20 -2.8844811451636581
cx 19 20
cx 20 21
u1 21 -2.5159523153517664
cx 20 21
cx 21 22
u1 22 -2.5348493614990737
cx 21 22
cx 22 23
u1 23 -3.1196966879828736
cx 22 23
cx 23 24
u1 24 1.9722808336756197
cx 23 24
cx 24 25
u1 25 -1.1784577174330382
cx 24 25
cx 25 26
u1 26 -2.7084050048495225
cx 25 26
cx 26 27
u1 27 -0.15221349032600884
cx 26 27
cx 27 28
u1 28 -2.873962777319278
cx 27 28
cx 28 29
u1 29 1.1313810884284807
cx 28 29
cx 29 30
u1 30 0.92631915857572444
cx 29 30
cx 30 31
u1 31 -1.9188146304969207
cx 30 31
cx 31 32
u1 32 1.947124964030774
cx 31 32
cx 32 33
u1 33 1.5951560738623494
cx 32 33
cx 33 34
u1 34 2.0396366235982444
cx 33 34
cx 34 35
u1 35 -2.9988462256671009
cx 34 35
cx 35 36
u1 36 -2.9958192365155338
cx 35 36
cx 36 37
u1 37 0.63687149936643728
cx 36 37
cx 37 38
u1 38 -1.6077709057404785
cx 37 38
cx 38 39
u1 39 -0.72965006697423718
cx 38 39
cx 39 40
u1 40 -2.7667443967726832
cx 39 40
cx 40 41
u1 41 -0.013646830709459934
cx 40 41
cx 41 42
u1 42 -2.8686409071062631
cx 41 42
cx 42 43
u1 43 1.3942377512025619
cx 42 43
cx 43 44
u1 44 1.9279593431001913
cx 43 44
cx 44 45
u1 45 -1.5492283906981745
cx 44 45
cx 45 46
u1 46 -1.6940701852044491
cx 45 46
cx 46 47
u1 47 -2.7264323784697555
cx 46 47
cx 47 48
u1 48 -1.5099395584282949
cx 47 48
cx 48 49
u1 49 -1.3099278742765392
cx 48 49
cx 49 50
u1 50 -1.0485043951165434
cx 49 50
cx 50 51
u1 51 1.4511508345550226
cx 50 51
cx 51 52
u1 52 0.80638644748993649
cx 51 52
cx 52 53
u1 53 2.5327607269694745
cx 52 53
cx 53 54
u1 54 2.8020252513202273
cx 53 54
cx 54 55
u1 55 -0.50293006644466698
cx 54 55
cx 55 56
u1 56 0.88352157456423441
cx 55 56
cx 56 57
u1 57 -0.99416327234101676
cx 56 57
cx 57 58
u1 58 -1.3630698196404865
cx 57 58
cx 58 59
u1 59 -0.16244914141478439
cx 58 59
cx 59 60
u1 60 1.5194808704064429
cx 59 60
cx 60 61
u1 61 2.725832198278213
cx 60 61
cx 61 62
u1 62 0.67829291619985987
cx 61 62
cx 62 63
u1 63 -0.59068111403803769
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
