64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 1.0781499764047187
u1 1 -2.0715577556568672
u1 2 1.7455284609426496
u1 3 0.027382258842649776
u1 4 -1.2165098067140709
u1 5 1.2300613027671545
u1 6 -2.9929233130136019
u1 7 0.20682831354539299
u1 8 -1.7914112384171377
u1 9 -0.04918958491942238
u1 10 1.2081969486103308
u1 11 2.5014758323529502
u1 12 -2.1753641924069829
u1 13 -2.8905895907667913
u1 14 0.44053693675681238
u1 15 2.4523332528807886
u1 16 -2.2369950509036469
u1 17 -2.0061147993840525
u1 18 -0.92421477730907853
u1 19 0.58498761098814089
u1 20 0.76477484236655124
u1 21 1.3475454781355811
u1 22 -1.8644825355042105
u1 23 2.8452660020142524
u1 24 -1.8916620210980992
u1 25 -1.5652475886762955
u1 26 -1.3790834076716223
u1 27 0.2671783359249007
u1 28 1.6591797906077153
u1 29 -0.49577532730302631
u1 30 2.8979089194799581
u1 31 -2.4209128390144179
u1 32 1.8346913596977217
u1 33 -1.6787876002695614
u1 34 1.9415032679070636
u1 35 -0.73199834114682871
u1 36 -1.8343703059653986
u1 37 1.019396614924271
u1 38 1.7148503397153529
u1 39 1.0893894515728766
u1 40 -1.212578732361612
u1 41 -2.4070080342694036
u1 42 2.9343148390445801
u1 43 0.77431000028999808
u1 44 0.47971373363981584
u1 45 1.5979571011776414
u1 46 -0.47751948402153399
u1 47 2.1806019238603662
u1 48 1.230819768286108
u1 49 -2.4038213287232928
u1 50 -0.71576268167158119
u1 51 2.7297460175922352
u1 52 -0.12337666066598585
u1 53 0.36759756180257153
u1 54 -1.7766674318112035
u1 55 -0.68499798032243842
u1 56 -2.7053035878065277
u1 57 2.5180836167441494
u1 58 1.1222625042913768
u1 59 2.9809728698389861
u1 60 -2.4058813914859005
u1 61 -0.5252017161382998
u1 62 1.6016612312851661
u1 63 -0.14699066061641908
cx 0 1
u1 1 2.178562108229162
cx 0 1
cx 1 2
u1 2 0.60100998187702714
cx 1 2
cx 2 3
u1 3 2.0308453866675213
cx 2 3
cx 3 4
u1 4 -0.077339424544081936
cx 3 4
cx 4 5
u1 5 1.1870706320534969
cx 4 5
cx 5 6
u1 6 1.015148276149155
cx 5 6
cx 6 7
u1 7 -0.27668980422992906
cx 6 7
cx 7 8
u1 8 1.3374244126109882
cx 7 8
cx 8 9
u1 9 2.230433063120151
cx 8 9
cx 9 10
u1 10 3.0746186052242681
cx 9 10
cx 10 11
u1 11 -1.4117108850741431
cx 10 11
cx 11 12
u1 12 -0.01926516505039011
