64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 -1.8737350187797546
u1 1 0.87891628695857449
u1 2 0.18606003278817917
u1 3 2.712730449197378
u1 4 -2.8619137264319852
u1 5 -1.7865612361081755
u1 6 1.347215866893146
u1 7 -2.965316953681036
u1 8 2.9427405049836577
u1 9 -2.8977508750682399
u1 10 2.3028086633308806
u1 11 -2.2257451318099006
u1 12 -0.79228258123782425
u1 13 -1.1081110709251316
u1 14 0.24792825871912605
u1 15 -3.0514830563626392
u1 16 -0.83174670153738006
u1 17 0.026601799625552758
u1 18 3.1001019282206013
u1 19 0.36890261763966237
u1 20 0.3286656509292385
u1 21 0.82024853687997989
u1 22 1.3621822404672095
u1 23 -3.0933502700047786
u1 24 -2.367051509987093
u1 25 -0.12048635328570612
u1 26 0.27241291225462905
u1 27 -2.3068506384302454
u1 28 2.8749562087199489
u1 29 -0.062794165631257393
u1 30 0.18858867708408233
u1 31 -2.3051107615889181
u1 32 -0.11136538917421568
u1 33 1.8132646383704039
u1 34 0.027682872077608334
u1 35 0.71484258630700914
u1 36 -0.36015985786945826
u1 37 -1.7106843788819992
u1 38 0.54350861353750979
u1 39 -2.3581556592616355
u1 40 0.43778441026123183
u1 41 0.66709544482496597
u1 42 -1.994620030625172
u1 43 -1.5596679025069227
u1 44 2.4081469138568963
u1 45 -2.1262081712734462
u1 46 -0.19450400955680802
u1 47 -0.39269878746133458
u1 48 0.4693578090900381
u1 49 -2.8285880250289122
u1 50 1.3074686956257455
u1 51 -1.5693313986660122
u1 52 1.2024914235625204
u1 53 0.63183186578114814
u1 54 2.4198350269603974
u1 55 -2.1830149140768391
u1 56 -2.5989545307270907
u1 57 2.9599014974190929
u1 58 1.2391579911535842
u1 59 -3.0632116356574102
u1 60 0.3130487288416095
u1 61 -0.82411628853956209
u1 62 -2.5103879415697392
u1 63 0.11529031811832358
cx 0 1
u1 1 2.8938706667939833
cx 0 1
cx 1 2
u1 2 -1.8194393060920158
cx 1 2
cx 2 3
u1 3 -0.55390787748245796
cx 2 3
cx 3 4
u1 4 1.515879182188665
cx 3 4
cx 4 5
u1 5 1.5091411199819422
cx 4 5
cx 5 6
u1 6 -2.4401013012410093
cx 5 6
cx 6 7
u1 7 0.85970887898748716
cx 6 7
cx 7 8
u1 8 2.019004556293563
cx 7 8
cx 8 9
u1 9 0.015262164445805582
cx 8 9
cx 9 10
u1 10 0.17684550811375743
cx 9 10
cx 10 11
u1 11 -2.4631638584821474
cx 10 11
cx 11 12
u1 12 0.50484449613717719
cx 11 12
cx 12 13
u1 13 2.1312431441711501
cx 12 13
cx 13 14
u1 14 -1.9345779887736274
cx 13 14
cx 14 15
u1 15 2.6585396131904795
cx 14 15
cx 15 16
u1 16 2.1217885536868226
cx 15 16
cx 16 17
u1 17 -0.49959000032828782
cx 16 17
cx 17 18
u1 18 1.8101656579363246
cx 17 18
cx 18 19
u1 19 2.6887925228322813
cx 18 19
cx 19 20
u1 20 -1.416999154163987
cx 19 20
cx 20 21
u1 21 -0.77460822604244228
cx 20 21
cx 21 22
u1 22 -2.3532015852499306
cx 21 22
cx 22 23
u1 23 -1.801989967875163
cx 22 23
cx 23 24
u1 24 2.3964624516797972
cx 23 24
cx 24 25
u1 25 -1.5056626288348305
cx 24 25
cx 25 26
u1 26 1.2711000361420925
cx 25 26
cx 26 27
u1 27 -2.8202664539881166
cx 26 27
cx 27 28
u1 28 0.39405719618784474
cx 27 28
cx 28 29
u1 29 2.9758243044321731
cx 28 29
cx 29 30
u1 30 -0.46635781521594311
cx 29 30
cx 30 31
u1 31 -0.41401289402759112
cx 30 31
cx 31 32
u1 32 2.2847813614882693
cx 31 32
cx 32 33
u1 33 2.3433897163903126
cx 32 33
cx 33 34
u1 34 2.3265318971255216
cx 33 34
cx 34 35
u1 35 0.34809400513788091
cx 34 35
cx 35 36
u1 36 -2.6743097229565507
cx 35 36
cx 36 37
u1 37 1.4655060289469617
cx 36 37
cx 37 38
u1 38 -0.19130070881024608
cx 37 38
cx 38 39
u1 39 -1.5023862750664918
cx 38 39
cx 39 40
u1 40 -0.30214599610958537
cx 39 40
cx 40 41
u1 41 -2.387898782409259
cx 40 41
cx 41 42
u1 42 0.93768468977669273
cx 41 42
cx 42 43
u1 43 1.4870560009584768
cx 42 43
cx 43 44
u1 44 -0.8625363537160986
cx 43 44
cx 44 45
u1 45 -1.1872694508235213
cx 44 45
cx 45 46
u1 46 -0.54666586740738354
cx 45 46
cx 46 47
u1 47 -0.40968022178458674
cx 46 47
cx 47 48
u1 48 0.20022900838155566
cx 47 48
cx 48 49
u1 49 2.312069025346088
cx 48 49
cx 49 50
u1 50 2.1366791079982441
cx 49 50
cx 50 51
u1 51 0.41630771353180585
cx 50 51
cx 51 52
u1 52 -3.0623955356918557
cx 51 52
cx 52 53
u1 53 1.7213283628160525
cx 52 53
cx 53 54
u1 54 2.9082924668702219
cx 53 54
cx 54 55
u1 55 1.9680332667201776
cx 54 55
cx 55 56
u1 56 1.6127362437353367
cx 55 56
cx 56 57
u1 57 -1.4986088579570174
cx 56 57
cx 57 58
u1 58 -3.0092315143591186
cx 57 58
cx 58 59
u1 59 1.6045733116273375
cx 58 59
cx 59 60
u1 60 2.1585380768655638
cx 59 60
cx 60 61
u1 61 1.9723815557395503
cx 60 61
cx 61 62
u1 62 0.48071556002113258
cx 61 62
cx 62 63
u1 63 0.94433564699574157
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
