64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 2.9785305082419313
u1 1 -1.5199652200321596
u1 2 1.9634556796561267
u1 3 0.046165904869885033
u1 4 2.2731597308873788
u1 5 -1.8321933585907679
u1 6 -0.66047421926030658
u1 7 -2.0504753037272412
u1 8 -2.4022155801266893
u1 9 -2.1699312293168456
u1 10 0.41027640099505547
u1 11 2.1802713751883971
u1 12 0.29543794449269356
u1 13 0.13643914818949554
u1 14 -0.70659534010789216
u1 15 2.7246202712772298
u1 16 -2.3105830645668961
u1 17 -2.1513400070748618
u1 18 -3.1366040050009154
u1 19 -1.9689426634171445
u1 20 1.8933820667211636
u1 21 -0.54516047292571557
u1 22 -1.754005681432413
u1 23 3.0273103394637175
u1 24 2.28759435720296
u1 25 -0.4366285379430459
u1 26 -0.4156420633530683
u1 27 2.8703342067846709
u1 28 0.22914180628855885
u1 29 2.8590119901338218
u1 30 -0.83674778588890852
u1 31 0.34626245690429336
u1 32 -0.21117366070077814
u1 33 -2.9169965615786415
u1 34 2.0527739152479558
u1 35 -3.009175614511018
u1 36 0.088369633880123644
u1 37 1.3058978694262375
u1 38 -2.9972438377109674
u1 39 -1.5466685896548462
u1 40 1.5278195425165766
u1 41 -1.2077834664491656
u1 42 -2.8852696338764217
u1 43 -1.7707511485270544
u1 44 -2.2902878430096649
u1 45 1.1369218861070731
u1 46 -0.82524987637452085
u1 47 2.7626606076573141
u1 48 -0.38133153280836574
u1 49 2.431519080941992
u1 50 -0.036334828188861579
u1 51 2.1177649418482059
u1 52 1.1293388470727264
u1 53 2.0783948235132543
u1 54 -2.3901876602861023
u1 55 -0.37777778747637036
u1 56 -3.1383920355205284
u1 57 2.2888561068032063
u1 58 -2.2968970126973849
u1 59 0.80695750999911375
u1 60 -2.7953587641594595
u1 61 0.34732270802836496
u1 62 0.17437552063895634
u1 63 1.9967483406034834
cx 0 1
u1 1 -1.4413963366009188
cx 0 1
cx 1 2
u1 2 0.6799677866840792
cx 1 2
cx 2 3
u1 3 0.35965887277123537
cx 2 3
cx 3 4
u1 4 0.31986909594995966
cx 3 4
cx 4 5
u1 5 -0.94469315790964181
cx 4 5
cx 5 6
u1 6 0.42973859414272653
cx 5 6
cx 6 7
u1 7 0.0069245747456925244
cx 6 7
cx 7 8
u1 8 -0.32204448545011122
cx 7 8
cx 8 9
u1 9 1.7052288375457625
cx 8 9
cx 9 10
u1 10 2.1364639162038337
cx 9 10
cx 10 11
u1 11 -2.7183856768504522
cx 10 11
cx 11 12
u1 12 2.3007294517621935
cx 11 12
cx 12 13
u1 13 -0.99050887075149063
cx 12 13
cx 13 14
u1 14 1.2042006317103606
cx 13 14
cx 14 15
u1 15 -2.0143803461026781
cx 14 15
cx 15 16
u1 16 -0.88275021787959318
cx 15 16
cx 16 17
u1 17 0.76310581045683357
cx 16 17
cx 17 18
u1 18 2.7460595517371944
cx 17 18
cx 18 19
u1 19 -2.8311175347180164
cx 18 19
cx 19 20
u1 20 1.8433689052143638
cx 19 20
cx 20 21
u1 21 1.249355298887453
cx 20 21
cx 21 22
u1 22 -1.3642325517230021
cx 21 22
cx 22 23
u1 23 2.9921519773109431
cx 22 23
cx 23 24
u1 24 1.631774023581908
cx 23 24
cx 24 25
u1 25 0.65653547399752465
cx 24 25
cx 25 26
u1 26 1.9024033467957739
cx 25 26
cx 26 27
u1 27 0.0067816426416342779
cx 26 27
cx 27 28
u1 28 -0.79864612196158991
cx 27 28
cx 28 29
u1 29 2.74711676023046
cx 28 29
cx 29 30
u1 30 0.9137875593503435
cx 29 30
cx 30 31
u1 31 1.5269209059297486
cx 30 31
cx 31 32
u1 32 1.731784750857905
cx 31 32
cx 32 33
u1 33 -0.056809329941215125
cx 32 33
cx 33 34
u1 34 -2.9714070806114492
cx 33 34
cx 34 35
u1 35 -0.11141484184167005
cx 34 35
cx 35 36
u1 36 -3.0440903406373701
cx 35 36
cx 36 37
u1 37 1.734307406073647
cx 36 37
cx 37 38
u1 38 -2.5132565455085576
cx 37 38
cx 38 39
u1 39 1.8937280522192119
cx 38 39
cx 39 40
u1 40 -2.2429315175927926
cx 39 40
cx 40 41
u1 41 -0.25907148316382944
cx 40 41
cx 41 42
u1 42 1.1672933959623695
cx 41 42
cx 42 43
u1 43 -1.7020567228682415
cx 42 43
cx 43 44
u1 44 1.6156665584208865
cx 43 44
cx 44 45
u1 45 -0.010556262423746965
cx 44 45
cx 45 46
u1 46 -2.0827543887610371
cx 45 46
cx 46 47
u1 47 -2.870501517749374
cx 46 47
cx 47 48
u1 48 -1.4083553420810695
cx 47 48
cx 48 49
u1 49 -0.5097884216550268
cx 48 49
cx 49 50
u1 50 2.3977424174736028
cx 49 50
cx 50 51
u1 51 2.0442229209343497
cx 50 51
cx 51 52
u1 52 1.3943053971202701
cx 51 52
cx 52 53
u1 53 1.4351439106645048
cx 52 53
cx 53 54
u1 54 3.1094182739383562
cx 53 54
cx 54 55
u1 55 -0.88168060277390736
cx 54 55
cx 55 56
u1 56 1.7124916706928524
cx 55 56
cx 56 57
u1 57 -2.4276180748466643
cx 56 57
cx 57 58
u1 58 -2.1824225255272474
cx 57 58
cx 58 59
u1 59 3.0429443209055624
cx 58 59
cx 59 60
u1 60 0.84111926351830135
cx 59 60
cx 60 61
u1 61 -0.39789850042340974
