64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 1.177515888935595
u1 1 -2.6145446642916497
u1 2 0.1763171665927219
u1 3 -2.6475942369023109
u1 4 -0.41211697643638523
u1 5 1.4940589788569101
u1 6 -1.669492004915307
u1 7 -0.80094048142395557
u1 8 1.7077123324263752
u1 9 -2.5616564676896099
u1 10 -2.318288966338101
u1 11 0.96156729717906853
u1 12 1.0911202399589714
u1 13 -0.63042971787183077
u1 14 0.47885501678490794
u1 15 1.8500987762956456
u1 16 -0.038041943010847845
u1 17 -3.0070513982987452
u1 18 -0.55346541416770023
u1 19 1.0102923385804004
u1 20 -1.523300397451175
u1 21 -1.5313485208692348
u1 22 2.3068366618736018
u1 23 0.68267361475092336
u1 24 -0.70893425184598868
u1 25 -2.3035102925954063
u1 26 1.4253829894241203
u1 27 0.80143746689141082
u1 28 -2.4201455644433398
u1 29 -1.6845279130836008
u1 30 -2.772067633842175
u1 31 0.60201978391099153
u1 32 0.64358429482773616
u1 33 -2.954543461875633
u1 34 2.8875116664656399
u1 35 2.2542908623829341
u1 36 -2.4789219122861565
u1 37 0.34587167837248778
u1 38 1.6867866650681735
u1 39 -0.92657562982568464
u1 40 0.41795027583009858
u1 41 3.0555120358524093
u1 42 3.0844227410344107
u1 43 -2.5854115578781247
u1 44 -2.9809890855213173
u1 45 -2.8481339124378877
u1 46 -0.58407585814724428
u1 47 0.0088099610037151166
u1 48 0.88992410443063363
u1 49 2.3063239246713891
u1 50 -2.2919599568668891
u1 51 2.6064812990169659
u1 52 0.34664909922995513
u1 53 -2.4833068288970495
u1 54 -1.8076847628758301
u1 55 0.53633698727114698
u1 56 -0.90480933919418582
u1 57 0.48295596518654804
u1 58 1.576726573028872
u1 59 -2.4009852158216223
u1 60 -2.3897474460843795
u1 61 -2.9537862927030023
u1 62 -0.85862579399336081
u1 63 0.67297571095853748
cx 0 1
u1 1 -1.0326231388400169
cx 0 1
cx 1 2
u1 2 -3.0547929296958203
cx 1 2
cx 2 3
u1 3 -1.6909090813423813
cx 2 3
cx 3 4
u1 4 -1.6135310950653583
cx 3 4
cx 4 5
u1 5 -3.101110424704792
cx 4 5
cx 5 6
u1 6 -0.088028329159968166
cx 5 6
cx 6 7
u1 7 -1.8525766539625259
cx 6 7
cx 7 8
u1 8 0.27088682468290848
cx 7 8
cx 8 9
u1 9 1.9936824315477393
cx 8 9
cx 9 10
u1 10 -1.7718597054008627
cx 9 10
cx 10 11
u1 11 2.0624562320951867
cx 10 11
cx 11 12
u1 12 -1.231764410301218
cx 11 12
cx 12 13
u1 13 -3.1170626868119804
cx 12 13
cx 13 14
u1 14 1.623295892647473
cx 13 14
cx 14 15
u1 15 -2.2472962145827715
cx 14 15
cx 15 16
u1 16 0.13367651922497736
cx 15 16
cx 16 17
u1 17 0.080732795624907608
cx 16 17
cx 17 18
u1 18 2.8440291991812003
cx 17 18
cx 18 19
u1 19 2.5886834599182791
cx 18 19
cx 19 20
u1 20 -0.46909968371536426
cx 19 20
cx 20 21
u1 21 -0.23408405942893928
cx 20 21
cx 21 22
u1 22 2.9384317661601251
cx 21 22
cx 22 23
u1 23 1.0149970237865844
cx 22 23
cx 23 24
u1 24 1.6386576614685193
cx 23 24
cx 24 25
u1 25 0.44600941418076889
cx 24 25
cx 25 26
u1 26 -0.7503320244067142
cx 25 26
cx 26 27
u1 27 -0.86975492370034679
cx 26 27
cx 27 28
u1 28 2.8058467831951468
cx 27 28
cx 28 29
u1 29 -0.9365831108156808
cx 28 29
cx 29 30
u1 30 2.046720184925956
cx 29 30
cx 30 31
u1 31 -0.76576153331637542
cx 30 31
cx 31 32
u1 32 0.65293133533593917
cx 31 32
cx 32 33
u1 33 0.52858009164161501
cx 32 33
cx 33 34
u1 34 0.83771379496978637
cx 33 34
cx 34 35
u1 35 -0.76698133230909082
cx 34 35
cx 35 36
u1 36 0.29124422359638469
cx 35 36
cx 36 37
u1 37 1.0462694538079731
cx 36 37
cx 37 38
u1 38 2.4715588347600348
cx 37 38
cx 38 39
u1 39 -0.47536989223919157
cx 38 39
cx 39 40
u1 40 1.8263645302911264
cx 39 40
cx 40 41
u1 41 2.1327547641989195
cx 40 41
cx 41 42
u1 42 -1.5605729970152202
cx 41 42
cx 42 43
u1 43 -1.0810109809968989
cx 42 43
cx 43 44
u1 44 1.0934242833674901
cx 43 44
cx 44 45
u1 45 0.89402419404076205
cx 44 45
cx 45 46
u1 46 1.0456410007468016
cx 45 46
cx 46 47
u1 47 -2.6346762276967959
cx 46 47
cx 47 48
u1 48 -2.860011803921596
cx 47 48
cx 48 49
u1 49 -0.89442350201860088
cx 48 49
cx 49 50
u1 50 0.84910134126013603
cx 49 50
cx 50 51
u1 51 -0.17966461355306529
cx 50 51
cx 51 52
u1 52 2.9844781574298924
cx 51 52
cx 52 53
u1 53 0.44242031484452138
cx 52 53
cx 53 54
u1 54 2.2885714040892764
cx 53 54
cx 54 55
u1 55 -2.9470265680916343
cx 54 55
cx 55 56
u1 56 -0.15853846654107073
cx 55 56
cx 56 57
u1 57 2.9904120557887701
cx 56 57
cx 57 58
u1 58 0.74459582313830097
cx 57 58
cx 58 59
u1 59 -1.2794452062710882
cx 58 59
cx 59 60
u1 60 -2.7932629039450498
cx 59 60
cx 60 61
u1 61 -0.33544364698472506
cx 60 61
cx 61 62
u1 62 0.78341441978535897
cx 61 62
cx 62 63
u1 63 -1.4745114032883571
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
