circuit_id,n_qubits,gate_count,expectation_real,expectation_imag
0,2,4,0.99999999999999933,0
1,2,9,0.093298253997663935,0
2,2,9,0.66792800672996688,0
3,2,9,0.044653512550407101,0
4,2,9,0.06233937070941753,0
5,2,9,0.061402798498801356,0
6,2,9,0.39310253891649022,0
7,2,9,0.0053947548011535514,0
8,2,9,0.080908672516794178,0
9,2,9,0.78482655545355573,0
10,2,9,0.093298253997663935,0
11,2,4,0.99999999999999933,0
12,2,9,0.065476618687663579,0
13,2,9,0.24449471182778024,0
14,2,9,0.17914318930545839,0
15,2,9,0.14519135805749017,0
16,2,9,0.12567782951293593,0
17,2,9,0.1106074110030818,0
18,2,9,0.048620554269460867,0
19,2,9,0.098964701962569429,0
20,2,9,0.66792800672996688,0
21,2,9,0.065476618687663579,0
22,2,4,0.99999999999999933,0
23,2,9,0.036263280321827705,0
24,2,9,0.10749760856119403,0
25,2,9,0.35019031888047281,0
26,2,9,0.24333993060988557,0
27,2,9,0.0051359332808863277,0
28,2,9,0.052329641498727937,0
29,2,9,0.52523319184053696,0
30,2,9,0.044653512550407101,0
31,2,9,0.24449471182778024,0
32,2,9,0.036263280321827705,0
33,2,4,0.99999999999999933,0
34,2,9,0.78934726902130503,0
35,2,9,0.22695351574805514,0
36,2,9,0.18666025212516243,0
37,2,9,0.65307381267624909,0
38,2,9,0.36528835136914567,0
39,2,9,0.01108192708604388,0
40,2,9,0.06233937070941753,0
41,2,9,0.17914318930545839,0
42,2,9,0.10749760856119403,0
43,2,9,0.78934726902130503,0
44,2,4,0.99999999999999933,0
45,2,9,0.15709936609310873,0
46,2,9,0.13588512192656682,0
47,2,9,0.81697078424242586,0
48,2,9,0.76927338865554595,0
49,2,9,0.18292313834719973,0
50,2,9,0.061402798498801356,0
51,2,9,0.14519135805749017,0
52,2,9,0.35019031888047281,0
53,2,9,0.22695351574805514,0
54,2,9,0.15709936609310873,0
55,2,4,0.99999999999999933,0
56,2,9,0.43476715028466223,0
57,2,9,0.52112164819404572,0
58,2,9,0.16517234392244473,0
59,2,9,0.039649091658352439,0
60,2,9,0.39310253891649022,0
61,2,9,0.12567782951293593,0
62,2,9,0.24333993060988557,0
63,2,9,0.18666025212516243,0
64,2,9,0.13588512192656682,0
65,2,9,0.43476715028466223,0
66,2,4,0.99999999999999933,0
67,2,9,0.27932289655936343,0
68,2,9,0.23507964683814289,0
69,2,9,0.32790923492573582,0
70,2,9,0.0053947548011535514,0
71,2,9,0.1106074110030818,0
72,2,9,0.0051359332808863277,0
73,2,9,0.65307381267624909,0
74,2,9,0.81697078424242586,0
75,2,9,0.52112164819404572,0
76,2,9,0.27932289655936343,0
77,2,4,0.99999999999999933,0
78,2,9,0.76117333295192613,0
79,2,9,0.07685585924463352,0
80,2,9,0.080908672516794178,0
81,2,9,0.048620554269460867,0
82,2,9,0.052329641498727937,0
83,2,9,0.36528835136914567,0
84,2,9,0.76927338865554595,0
85,2,9,0.16517234392244473,0
86,2,9,0.23507964683814289,0
87,2,9,0.76117333295192613,0
88,2,4,0.99999999999999933,0
89,2,9,0.33554888368003749,0
90,2,9,0.78482655545355573,0
91,2,9,0.098964701962569429,0
92,2,9,0.52523319184053696,0
93,2,9,0.01108192708604388,0
94,2,9,0.18292313834719973,0
95,2,9,0.039649091658352439,0
96,2,9,0.32790923492573582,0
97,2,9,0.07685585924463352,0
98,2,9,0.33554888368003749,0
99,2,4,0.99999999999999933,0
